"price","room_type","accommodates","cleaning_fee","host_listings_count","availability_90","extra_people","number_of_reviews","bathrooms","bedrooms","security_deposit","neighbourhood_group_cleansed","minimum_nights","longitude","latitude","cozy","cancellation_policy","property_type","polarity","spacious","private"
125,"Entire home/apt",4,99,1,0,30,1,1,1,500,"Manhattan",2,-73.9827340001347,40.7394469035643,FALSE,"strict","Apartment",0.597948074201549,TRUE,FALSE
60,"Entire home/apt",2,30,1,10,20,56,1,0,0,"Manhattan",6,-73.9898883093138,40.7139695450673,FALSE,"moderate","Apartment",0.716001555758157,FALSE,FALSE
189,"Entire home/apt",4,0,2,0,0,1,1,2,0,"Manhattan",2,-73.9921105619426,40.7259263882086,TRUE,"moderate","Apartment",0.838742136829326,TRUE,FALSE
81,"Private room",2,20,3,21,0,24,1,1,0,"Manhattan",1,-73.9534094745548,40.822465531608,TRUE,"strict","Apartment",0.936028702882727,FALSE,TRUE
55,"Private room",1,0,9,77,5,3,1,1,0,"Queens",2,-73.9274823498902,40.7586987085459,FALSE,"strict","Guesthouse",0.882158485088916,FALSE,TRUE
104,"Private room",2,0,1,43,0,117,1,1,0,"Manhattan",2,-73.9851067832017,40.7619526825257,FALSE,"strict","Apartment",1.13333333333333,FALSE,FALSE
65,"Private room",2,50,1,35,25,56,1,1,250,"Manhattan",28,-73.9576012583577,40.806610002388,FALSE,"strict","Apartment",1.4,FALSE,FALSE
78,"Entire home/apt",3,0,1,1,0,2,1,1,100,"Manhattan",5,-73.9456964803193,40.827218251893,FALSE,"moderate","Apartment",0.803583926193637,FALSE,TRUE
636,"Entire home/apt",4,100,35,90,0,13,1,0,0,"Manhattan",2,-73.9729488232541,40.7535918987353,FALSE,"strict","Condominium",0.892217816219194,FALSE,FALSE
228,"Entire home/apt",2,100,1,0,0,12,1,1,500,"Manhattan",5,-74.0001577027039,40.7463750667874,TRUE,"moderate","Apartment",0.659589890408738,FALSE,FALSE
93,"Private room",3,50,5,36,17,61,1,1,200,"Brooklyn",2,-73.9836539891745,40.6710006594554,FALSE,"strict","Apartment",0.306785995538948,FALSE,FALSE
63,"Private room",1,50,1,90,30,6,1,1,0,"Bronx",2,-73.8663348521722,40.8563434923286,FALSE,"strict","Apartment",1.60716785238727,TRUE,TRUE
291,"Entire home/apt",2,100,1,0,0,3,1,1,500,"Manhattan",7,-73.9796636779745,40.7746757071891,FALSE,"strict","Apartment",0.843661487732107,FALSE,TRUE
35,"Private room",2,15,9,65,10,20,2,1,0,"Queens",1,-73.9341528394626,40.7559882476238,FALSE,"flexible","House",0.152498570332605,FALSE,FALSE
52,"Private room",2,10,2,86,30,3,1,1,0,"Brooklyn",1,-73.9132778397269,40.6964269879999,FALSE,"moderate","Apartment",0.655913273399938,FALSE,FALSE
135,"Private room",5,90,3,28,20,32,1,1,100,"Manhattan",3,-73.9849732496142,40.7227817465425,FALSE,"strict","Apartment",0.0816496580927726,FALSE,TRUE
164,"Private room",2,50,1,64,40,81,1,1,95,"Manhattan",1,-73.9526984724213,40.7711759352868,FALSE,"strict","Apartment",0.4656903154238,TRUE,TRUE
89,"Private room",2,0,2,0,10,2,1.5,1,0,"Manhattan",3,-74.0126866548107,40.7066216254004,FALSE,"flexible","Apartment",0.692820323027551,FALSE,FALSE
57,"Private room",2,0,1,0,0,1,1,1,0,"Brooklyn",4,-73.9553569016598,40.7327050547184,FALSE,"flexible","Apartment",0.846028785492759,FALSE,TRUE
393,"Entire home/apt",6,0,2,0,0,1,1.5,2,0,"Manhattan",1,-73.9731299822866,40.7534135885661,FALSE,"strict","Timeshare",0.339467369916602,FALSE,FALSE
211,"Private room",2,0,1,0,0,1,1,1,0,"Brooklyn",7,-73.9699830918812,40.6955873786641,FALSE,"flexible","Apartment",0.182574185835055,FALSE,FALSE
277,"Entire home/apt",2,0,1,0,0,1,1,0,0,"Manhattan",3,-74.0023376074691,40.7424749271001,FALSE,"flexible","Apartment",0.64699663922063,FALSE,FALSE
44,"Entire home/apt",2,74,2,5,25,28,1,1,100,"Brooklyn",2,-73.9984741413794,40.6093091411826,FALSE,"flexible","Apartment",0.748331477354788,FALSE,FALSE
151,"Entire home/apt",4,60,2,90,30,70,1,2,300,"Queens",3,-73.9183634278646,40.7591907499227,FALSE,"strict","Apartment",0.557077705952948,FALSE,FALSE
262,"Entire home/apt",2,75,1,0,0,4,1,0,300,"Manhattan",14,-74.0109392107137,40.7092878384109,FALSE,"moderate","Apartment",1.24559831065844,FALSE,FALSE
66,"Private room",2,10,1,0,25,11,1,1,0,"Brooklyn",2,-73.9530651716445,40.6852690705129,FALSE,"moderate","Apartment",0.588171697675046,TRUE,FALSE
149,"Private room",2,70,3,40,45,30,1,1,0,"Manhattan",3,-73.9946054375057,40.7199530051339,FALSE,"strict","Apartment",1.5351904819764,FALSE,FALSE
72,"Private room",1,50,1,88,10,1,1,0,0,"Bronx",3,-73.9035312968791,40.8718883486578,FALSE,"moderate","Condominium",0.298142396999972,FALSE,FALSE
256,"Entire home/apt",5,160,1,13,0,58,1,2,200,"Manhattan",2,-73.9806357031216,40.7251314167477,FALSE,"strict","Apartment",0.380142960634853,FALSE,FALSE
86,"Entire home/apt",3,0,1,25,0,42,1,1,0,"Queens",20,-73.9174952493795,40.7606216275292,FALSE,"strict","Apartment",0.876877577381407,FALSE,FALSE
89,"Shared room",1,15,1,13,0,12,1,1,0,"Manhattan",3,-73.9886389140541,40.7769900299092,FALSE,"strict","Apartment",0.886796350347864,FALSE,FALSE
180,"Entire home/apt",6,95,1,48,0,60,1,3,100,"Brooklyn",2,-73.9389786029862,40.6704527070357,FALSE,"moderate","Apartment",1.21564887932421,TRUE,FALSE
76,"Private room",2,30,1,81,89,8,2,1,100,"Manhattan",1,-73.9608820036564,40.8131554032811,FALSE,"strict","Apartment",0.4656903154238,FALSE,TRUE
38,"Private room",2,0,1,56,0,7,1,1,0,"Brooklyn",1,-73.9669572016944,40.6417263129004,FALSE,"flexible","House",0.700649049745371,FALSE,TRUE
172,"Entire home/apt",6,58,2,13,23,116,1,3,200,"Brooklyn",2,-73.9205720392194,40.6959293028096,FALSE,"strict","Apartment",0.076696498884737,FALSE,FALSE
216,"Private room",2,0,1,85,25,52,1,1,500,"Brooklyn",2,-73.9372113722515,40.7074818971658,FALSE,"strict","Apartment",0.615384615384615,TRUE,FALSE
63,"Private room",2,0,2,12,8,16,1,1,0,"Brooklyn",3,-73.9267293089352,40.7027788265242,FALSE,"strict","Apartment",0.564903551147846,FALSE,FALSE
